,index,0
338,280,Trinity
339,281,Lake
340,282,Trinity
341,283,San Bernardino
342,284,Del Norte
343,285,Trinity
344,286,Lake
345,287,Napa
346,288,Lassen
347,289,Del Norte
348,290,Inyo
349,291,Mono
350,292,Tulare
351,293,Madera
352,294,Humboldt
353,295,Modoc
354,296,San Bernardino
355,297,Mono
356,298,Alameda
357,299,San Luis Obispo
358,300,Nevada
359,301,San Diego
360,302,San Luis Obispo
361,303,Trinity
362,304,Merced
363,305,Merced
364,306,Monterey
365,307,Riverside
366,308,Butte
367,309,Madera
368,310,Butte
369,311,Lake
370,312,San Benito
371,313,Riverside
372,314,Mono
373,315,Madera
374,316,Tulare
375,317,Mariposa
376,318,Los Angeles
377,319,Butte
378,320,Los Angeles
379,321,Amador
380,322,Los Angeles
381,323,Alameda
382,324,Ventura
383,325,Merced
384,326,Alameda
385,327,Mendocino
386,328,Santa Clara
387,329,Lake
388,330,Orange
389,331,Shasta
390,332,Santa Barbara
391,333,Tuolumne
392,334,Los Angeles
393,335,Siskiyou
394,336,Contra Costa
395,337,Ventura
396,338,Siskiyou
397,339,San Diego
398,340,Fresno
399,341,Tehama
400,342,Kern
401,343,San Diego
402,344,Ventura
403,345,Humboldt
404,346,Yuba
405,347,Solano
406,348,Riverside
407,349,Humboldt
408,350,Plumas
409,351,Madera
410,352,Trinity
411,353,San Joaquin
412,354,Modoc
413,355,Calaveras
414,356,Tuolumne
415,357,Lassen
416,358,Sacramento
417,359,Tehama
418,360,Placer
419,361,Shasta
420,362,Tuolumne
421,363,Butte
422,364,San Bernardino
423,365,Monterey
424,366,San Luis Obispo
425,367,Shasta
426,368,Tulare
427,369,San Diego
428,370,Riverside
429,371,Modoc
430,372,Shasta
431,373,Shasta
432,374,El Dorado
433,375,Butte
434,376,Butte
435,377,Siskiyou
436,378,Kern
437,379,San Bernardino
438,380,Fresno
439,381,Lassen
440,382,Riverside
441,383,Mariposa
442,384,Amador
443,385,Shasta
444,386,Siskiyou
445,387,San Bernardino
446,388,San Diego
447,389,Tehama
448,390,San Bernardino
449,391,Alameda
450,392,Santa Barbara
451,393,Ventura
452,394,Mendocino
453,395,Kern
454,396,Alameda
455,397,Fresno
456,398,Modoc
457,399,Santa Clara
458,400,Lassen
459,401,Stanislaus
460,402,Solano
461,403,Napa
462,404,Napa
463,405,Trinity
464,406,El Dorado
465,407,Mendocino
466,408,Nevada
467,409,Lassen
468,410,Yuba
469,411,Ventura
470,412,Placer
471,413,San Diego
472,414,San Benito
473,415,San Diego
474,416,El Dorado
475,417,Mariposa
476,418,Lake
477,419,Riverside
478,420,Siskiyou
479,421,Mendocino
480,422,Lake
481,423,Santa Barbara
482,424,Riverside
483,425,Humboldt
484,426,Napa
485,427,Shasta
486,428,Humboldt
487,429,Trinity
488,430,Alpine
489,431,Monterey
490,432,Kern
491,433,San Luis Obispo
492,434,San Bernardino
493,435,Siskiyou
494,436,Santa Barbara
495,437,Kern
496,438,Santa Barbara
497,439,San Bernardino
498,440,San Diego
499,441,Santa Barbara
500,442,Fresno
501,443,Yolo
502,444,El Dorado
503,445,Placer
504,446,Inyo
505,447,Los Angeles
506,448,Los Angeles
507,449,Santa Clara
508,450,Tulare
509,451,Lake
510,452,Monterey
511,453,San Luis Obispo
512,454,Fresno
513,455,Siskiyou
514,456,Mono
515,457,Modoc
516,458,Lassen
517,459,Monterey
